CNT,icc.read,mean.read,icc.math,mean.math,icc.scie,mean.scie
BRA,0.43,412.87,0.44,383.57,0.44,403.62
CHE,0.36,483.93,0.34,515.31,0.34,495.28
COL,0.41,412.3,0.38,390.93,0.37,413.32
CRI,0.32,426.5,0.3,402.33,0.33,415.62
CZE,0.5,490.22,0.47,499.47,0.49,496.79
EST,0.21,523.02,0.21,523.41,0.22,530.11
FIN,0.08,520.08,0.08,507.3,0.07,521.88
GRC,0.39,457.41,0.32,451.37,0.36,451.63
ISL,0.07,473.97,0.07,495.19,0.07,475.02
ITA,0.41,476.28,0.43,486.59,0.39,468.01
KOR,0.27,514.05,0.31,525.93,0.28,519.01
LTU,0.39,475.87,0.35,481.19,0.36,482.07
MEX,0.39,420.47,0.35,408.8,0.35,419.2
NLD,0.52,484.78,0.57,519.23,0.56,503.38
NZL,0.16,505.73,0.18,494.49,0.17,508.49
PER,0.41,400.51,0.37,399.84,0.39,404.22
POL,0.22,511.86,0.24,515.65,0.22,511.04
PRT,0.28,491.8,0.27,492.49,0.27,491.68
SVK,0.44,457.98,0.4,486.16,0.41,464.05
SVN,0.46,495.35,0.49,508.9,0.47,507.01
TUR,0.57,465.63,0.57,453.51,0.57,468.3
USA,0.15,505.35,0.19,478.24,0.16,502.38
