model,area,school,condval,condsd
Type + PROATCE,Reading,7600001,-10.8555421478271,12.2269240140118
Type + PROATCE,Reading,7600002,6.09595093400026,12.9280120609605
Type + PROATCE,Reading,7600005,13.308527408267,15.1628569304605
Type + PROATCE,Reading,7600006,29.1027918426545,14.1604192047228
Type + PROATCE,Reading,7600007,-1.81010458041646,19.7787152141671
Type + PROATCE,Reading,7600009,-10.2527098435213,14.4453811156235
Type + PROATCE,Reading,7600010,-1.10685121399661,23.2241163333999
Type + PROATCE,Reading,7600011,-63.7836015583715,10.2585675517329
Type + PROATCE,Reading,7600012,-20.9527087126195,22.6125363540606
Type + PROATCE,Reading,7600013,-18.5418834737922,20.238532525645
Type + PROATCE,Reading,7600014,-30.6517658839205,22.7198637862792
Type + PROATCE,Reading,7600015,13.762055415468,15.4088558782448
Type + PROATCE,Reading,7600016,24.1209011871093,17.7117288549747
Type + PROATCE,Reading,7600017,1.13058389462696,17.6202190358288
Type + PROATCE,Reading,7600018,64.6472210605424,21.5590146306489
Type + PROATCE,Reading,7600019,15.6692211223584,12.3041415651335
Type + PROATCE,Reading,7600022,37.2447940370364,11.6648567088519
Type + PROATCE,Reading,7600023,3.51826968999734,20.1464380533178
Type + PROATCE,Reading,7600024,5.14047684432314,26.2238045774672
Type + PROATCE,Reading,7600025,41.3320557037784,14.4451859522091
Type + PROATCE,Reading,7600026,-58.095083516262,12.8972394430786
Type + PROATCE,Reading,7600027,-31.7529444178753,13.5568436919605
Type + PROATCE,Reading,7600028,-17.7729885724534,20.5309133462207
Type + PROATCE,Reading,7600029,21.4982568303798,14.7206932134804
Type + PROATCE,Reading,7600031,10.836623014585,17.1971719242865
Type + PROATCE,Reading,7600033,-33.1372571882718,14.9270721886506
Type + PROATCE,Reading,7600034,6.27701096512029,16.417956472119
Type + PROATCE,Reading,7600035,37.0352473889903,13.7994342283893
Type + PROATCE,Reading,7600036,-15.2567110401729,11.1715814312668
