Variable,Coef,S.E.,t.value,p.value,Area
(Intercept),429.547843772524,7.14936193110354,60.0819832471708,0,Reading
SEXMale,-14.7794970816079,2.23302099341088,-6.61861089762197,0,Reading
GRADEBehind,-50.6983783473129,3.48809928135843,-14.5346718249282,0,Reading
GRADEAhead,33.9538817116599,2.70245064576511,12.5641079754287,0,Reading
ISCEDOVocational,27.4830473986999,4.59219375864312,5.98473166489831,0,Reading
DISCLIMA,4.59065728182591,1.12875241945923,4.06701877460891,0.000024,Reading
ESCS,7.78466359603077,1.35994015893153,5.7242692223656,0,Reading
SCHLTYPEPrivateInd,76.3174977770885,2.78926981407741,27.3611026770931,0,Reading
mDISCLIMA,22.5047127274828,2.15987186172295,10.419466601843,0,Reading
(Intercept),382.211143605631,6.05759755182917,63.0961598778079,0,Mathematics
SEXMale,18.481861683601,2.48827865282818,7.42756911995951,0,Mathematics
GRADEBehind,-42.3056020455134,3.9097944059241,-10.8204160253061,0,Mathematics
GRADEAhead,28.7543897456094,2.76500324245383,10.3994054343643,0,Mathematics
ISCEDOVocational,25.7266162814516,5.40425271811158,4.76043916214957,0.000001,Mathematics
DISCLIMA,4.40757596660033,1.12534960454124,3.91662817387056,0.000045,Mathematics
ESCS,8.60607228861149,1.37167556984296,6.27413105388819,0,Mathematics
SCHLTYPEPrivateInd,70.9391753029657,2.59648450785443,27.3212395792746,0,Mathematics
mDISCLIMA,17.7432619492367,2.59264694166968,6.84368614332422,0,Mathematics
(Intercept),407.552490194504,6.91477196872227,58.9393969950123,0,Sciences
SEXMale,9.3527795509477,2.31648134741625,4.03749400416264,0.000027,Sciences
GRADEBehind,-44.9740847197013,3.75932843515337,-11.9633294870302,0,Sciences
GRADEAhead,31.721932460376,2.79529984513398,11.3483111715536,0,Sciences
ISCEDOVocational,23.4007728600358,4.19179459367596,5.58251897536673,0,Sciences
DISCLIMA,4.07407211908134,1.27625000707746,3.19222103544645,0.000706,Sciences
ESCS,8.79557926720798,1.19677796065193,7.34938272293777,0,Sciences
SCHLTYPEPrivateInd,70.5667010437548,2.66221726019133,26.5067401143223,0,Sciences
mDISCLIMA,18.2873190092302,2.43286756235443,7.51677538564101,0,Sciences
