ESCS.decile,pub.read.mean,pub.read.se,pub.math.mean,pub.math.se,pub.scie.mean,pub.scie.se,priv.read.mean,priv.read.se,priv.math.mean,priv.math.se,priv.scie.mean,priv.scie.se
1,362.32,3.16,337.97,3.51,357.1,3.36,,,,,,
2,378.67,3.31,352.94,3.48,372.53,3.24,409.9,43.85,334.84,43.32,400.67,33.08
3,384.21,3.06,356.5,3.28,375.87,3.03,449.25,21.97,396.13,25.68,421.91,20.66
4,392.81,3.57,362.51,3.01,381.32,3.5,453.72,19.14,418.74,18.9,447.18,17.09
5,398.41,4,367.24,3.67,389.06,3.63,474.13,14.19,430.37,11.9,449.18,14.81
6,405.29,3.91,375.17,3.47,394.99,4.15,485.13,10.42,441.01,9.63,458.98,9.43
7,404.5,3.56,375.07,3.27,393.26,3.63,501.07,11.08,459.42,10.85,477.74,10.3
8,416.82,3.76,387.77,3.49,409.38,3.7,495.35,9.01,459.03,8.38,480.86,9.2
9,430.2,4.72,399.88,4.71,423.87,4.94,508.53,6.93,470.59,7.09,495.35,6.46
10,440.86,8.41,416.8,7.3,436.64,7.84,537.36,6.67,505.87,7.82,524.82,6.93
